question_idx,latency_s,cluster_cpu_percent_top,cluster_mem_bytes,cluster_rx_bytes_per_s,cluster_tx_bytes_per_s,request_bytes,response_bytes
1,188.64844584465027,1551.531467378377,4149185137.9924526,34148693.285843395,34207693.50156298,229078,912
2,183.7720308303833,1557.7179982530236,4152818652.9581747,34747724.118550956,34805185.92028588,229074,894
3,158.55698347091675,1411.1393588731003,4155824415.276018,33924671.485609084,33980586.77742356,229061,778
4,160.84247660636902,1554.7447743669964,4157004236.123348,36088256.37648851,36147536.41370986,229080,836
5,315.4337856769562,1440.1627873344974,4157540656.8186045,27085775.236993454,27140772.316531934,229077,793
6,230.95208382606506,1403.7500533840725,4157872725.8633537,29380685.571602497,29436747.750325903,229071,808
7,205.69429969787598,1562.0802349503247,4158357894.7844524,33391528.574629355,33446928.495855846,229063,828
8,245.67016458511353,1557.962891612739,4158890492.970414,31400747.579697948,31458411.924181633,229068,880
9,148.3077516555786,1544.8619336640168,4159211851.580952,37401556.68249827,37461969.748571895,229075,818
10,138.0619354248047,1540.8591755970501,4159200283.6756754,38274157.87516638,38330669.49059458,229097,915
11,189.1493046283722,1357.2611356113377,4171627047.0682726,30443991.736125246,30497267.09983752,229077,819
12,171.08048605918884,1336.6983299362555,4175064215.373913,31486345.68489804,31540453.67940536,229055,797
13,163.8942403793335,1549.8226137300408,4175151944.205128,35693933.816466615,35752947.049497955,229051,889
14,165.0757999420166,1319.7512904770028,4175595032.3809524,31539258.969690006,31595385.39769008,229049,761
15,175.4218454360962,1554.6182365260004,4175733501.9186993,34947348.579987824,35005857.370466486,229083,895
16,187.27208065986633,1553.9582781084848,4175922662.6920156,34113654.712915815,34172813.525916465,229063,845
17,321.6906838417053,1568.3885960722168,4182739865.6000004,28173307.86445679,28208523.52835079,229070,831
18,210.636004447937,1391.8513160577074,4179764899.7006803,30561633.48650648,30617712.237292506,229074,775
19,224.1768958568573,1558.7734795968001,4176355958.153846,32561675.18556848,32617719.87274277,229066,829
20,139.39388966560364,1545.0964207733462,4176577114.964467,37691960.039310575,37748614.89713071,229094,886
21,171.48198795318604,1345.610712554792,4179886660.266667,31898480.79259085,31954629.66930336,229036,756
22,195.7505874633789,1366.4837662366738,4181976425.1927276,30401882.063895978,30458426.451033875,229047,765
23,159.85990452766418,1550.2949331307361,4177947838.300885,36439245.320529625,36498277.87799226,229053,814
24,295.2071170806885,1564.1323439833989,4181589504.0,30303244.428740777,30359986.912342288,229045,869
25,165.15896129608154,1327.769309513115,4177128702.8820963,32099335.424470123,32155076.844298355,229074,791
26,168.7448694705963,1315.5185144084126,4177185945.6,31812695.50796868,31869738.581516325,229076,792
27,165.11921310424805,1546.8036408261469,4177324608.277056,35374879.37465059,35435064.787439145,229059,921
28,144.92490124702454,1546.9943265157444,4177499225.475728,37624675.19440142,37685130.6021651,229053,845
29,197.2864544391632,1558.5560644500201,4177580667.8411555,33973063.59959351,34031369.10279038,229055,842
30,242.24315333366394,1558.5744934551722,4182043309.50999,31541236.959031105,31597388.176569395,229082,894
