question_idx,latency_s,cluster_cpu_percent_top,cluster_mem_bytes,cluster_rx_bytes_per_s,cluster_tx_bytes_per_s,request_bytes,response_bytes
1,98.93240213394165,3056.2787668962474,1205071128.920354,3642.365819765859,37851.562473233986,229078,889
2,120.49579644203186,2440.0519244790066,1205040691.942029,3695.5148075578068,37902.600213918195,229074,819
3,125.16802144050598,2464.5112741247153,1205146026.6666667,3712.7933688788794,38093.348006354216,229061,798
4,160.81448531150818,2626.629057586486,1205191388.617886,3636.482117063062,38063.07614729507,229080,818
5,100.50769472122192,3055.7262391887352,1205146828.8,3662.1176221474198,38118.36507270975,229077,1223
6,108.32403540611267,3072.4852407153767,1205073476.9632654,3641.851030761531,37870.48723416105,229071,841
7,125.34082126617432,3073.0770399377043,1205090696.1702127,3622.5787848937302,37656.000274459184,229063,912
8,147.62520480155945,3093.8483751061985,1205034861.7142856,3670.0643411691763,37923.192096671424,229068,887
9,119.31371021270752,2445.2428767816173,1205184452.2043796,3596.946228852514,37985.936334727216,229075,855
10,95.85091638565063,3042.7878104634215,1205122629.1891892,3693.663173500986,38375.83550271272,229097,888
11,93.7047700881958,3029.4829146138413,1205339534.2222223,3665.352358014766,38140.683730787154,229077,870
12,92.75818014144897,3056.5498327766013,1205104446.7924528,3655.311040847934,37839.98343485796,229055,866
13,83.88124990463257,3043.5049583816954,1204986573.8556702,3698.0731731188525,38313.63986175544,229051,1178
14,90.15949296951294,3029.819611922355,1205136195.106796,3650.2756300025576,37916.55085234302,229049,858
15,92.69072437286377,3046.5831604039113,1205170558.8037384,3692.9153625237154,38334.95772140352,229083,901
16,122.76895070075989,3062.3622492009513,1205199969.1678832,3605.838426354327,37457.09296814522,229063,855
17,92.51002383232117,3047.788643002135,1205121507.018868,3670.3698251709816,38010.56203783459,229070,861
18,101.37821960449219,3053.4961178810545,1205207344.069869,3616.861702942674,37680.98330098046,229074,908
19,104.92858576774597,3061.0628900589154,1205246854.5084746,3616.478743361144,37513.67628944035,229066,878
20,119.39755606651306,3054.643763368503,1205142603.2941177,3656.925772892426,38006.707586812394,229094,906
21,79.78054165840149,3030.3128428878176,1210475373.7142856,3619.554267210097,37819.79837789504,229036,851
22,108.83668351173401,3061.734235627308,1210713712.5975103,3550.0346715208743,37071.15900462923,229047,1246
23,116.27421593666077,3052.2588102708905,1210482098.4242425,3643.086273148901,37759.91921022013,229053,806
24,106.902836561203,3065.3910648329825,1205106688.0,3596.0972820389857,37386.96865832747,229045,819
25,96.61213111877441,3033.9047136809077,1205316838.6306307,3673.5138319605076,38128.948790822724,229074,831
26,115.25162553787231,2452.6769030873093,1205292508.8244274,3666.2910221700004,37947.49080187889,229076,821
27,108.84974956512451,3060.6133806554453,1205073092.4408164,3637.2430950162757,37700.031616010325,229059,875
28,119.98159575462341,3061.3278452404747,1205171136.2344322,3663.628552657098,37821.27560030503,229053,862
29,88.35947299003601,3006.8309713658573,1205292640.1624365,3572.633350083445,37722.16930691589,229055,844
30,163.6481430530548,2741.6748618685283,1205140530.3606558,3640.255177273029,37554.55384548757,229082,824
31,130.1655740737915,3073.4316876536327,1205327061.04698,3689.2012609091885,38153.06032595553,229099,910
32,107.29490637779236,3047.460602171596,1205244625.8360655,3652.6337850565137,37814.37662766597,229061,877
33,102.22869658470154,3040.5063390637424,1204997725.6851063,3679.4952157914004,38170.32917725713,229079,855
