question_idx,latency_s,cluster_cpu_percent_top,cluster_mem_bytes,cluster_rx_bytes_per_s,cluster_tx_bytes_per_s,request_bytes,response_bytes
1,192.35356664657593,2868.727674875472,1204866041.218543,2730.4094702074976,26437.591403457995,229078,791
2,79.20043134689331,2992.2943091306615,1204850451.0413222,2650.376979395503,25442.28567612519,229074,863
3,117.48316144943237,3053.51844106123,1205126625.5567567,2769.1117261942886,26356.645171936347,229061,873
4,111.90038204193115,3040.954765216976,1205049031.5932202,2760.857419452188,26459.820297043392,229080,789
5,113.65152597427368,3046.5758997234275,1204989512.316384,2706.8532284347625,26048.739553837037,229077,923
6,98.61883974075317,3054.517785768754,1204958129.2307692,2713.1834110336745,26384.11693789948,229071,882
7,93.44227504730225,3021.929847674017,1204860563.2876713,2695.7712649064247,26032.57464320727,229063,892
8,395.4989047050476,3130.6787080068198,1205115199.5923567,2763.9267441593215,26675.49233257169,229068,459
9,114.19848346710205,2410.3560016127867,1205232119.0175438,2539.368222727231,24944.74456677554,229075,844
10,126.5931921005249,3061.697027848388,1205035270.3054187,2787.6538551912918,26776.218718841716,229097,937
11,141.38721990585327,3077.3573473595898,1204964509.8854625,2794.934367216032,26870.066492075654,229077,869
12,105.12283253669739,3049.404132904294,1205202944.0,2746.9389192799244,26512.15661475896,229055,898
13,138.8739709854126,2534.1609914573587,1205091720.3738317,2707.6564264119565,25751.240312525115,229051,783
14,152.62271642684937,2599.468868647543,1207489900.4745762,2713.331342116964,25919.24775428833,229049,790
15,111.1715829372406,3047.775259180126,1210233294.8248587,2774.0002602472127,26641.358535589043,229083,894
16,106.06933426856995,3023.3243397949086,1210378215.6190476,2742.366603937409,26475.833183692725,229063,875
17,117.99295973777771,3055.5890860035793,1206069770.893617,2763.2665603489404,26652.700355927438,229070,861
18,116.58864951133728,3063.3856854588944,1205307347.4782608,2758.879199203022,26457.46402354583,229074,1301
19,186.23244786262512,2732.4454242012853,1205160712.8275862,2733.4602849419066,26145.599522977587,229066,800
20,94.99440002441406,3034.9052146854215,1205495453.0133333,2733.3400698700984,26331.099510678006,229094,885
21,124.43441319465637,3077.235550594948,1205356845.4822335,2771.5082278767068,26562.684028809654,229036,852
22,89.62020993232727,3033.6795707720735,1205248435.744681,2742.06007981417,26287.28499720021,229047,894
23,125.63994598388672,2470.7508234668144,1205307136.0,2698.942580280071,25500.24974072253,229053,795
24,94.97283267974854,3035.8997606426924,1205199095.409396,2756.15660409607,26295.39342499279,229045,824
25,93.50151109695435,3023.9083484632165,1205246513.0958905,2708.982956835343,26036.071197562676,229074,864
26,137.35925269126892,2550.625408449701,1205345395.9245284,2631.2461149766696,25733.17727597595,229076,818
27,96.86962532997131,3038.485995970319,1205613554.3466666,2688.5930353590347,25823.91530346947,229059,850
28,142.35836553573608,2591.635543240356,1205250923.0545454,2625.2689723821195,25762.068749513455,229053,773
29,133.72226929664612,2533.265414816821,1210540711.3365853,2613.439046750945,25641.914529534537,229055,775
30,135.27797722816467,3060.963864810129,1210766677.3333333,2751.660008725355,26339.35746976974,229082,864
31,119.42153739929199,3063.0823213818812,1206592723.3015873,2744.412834882354,26466.63297786969,229099,889
32,94.17050504684448,3041.0795806770666,1205286257.197279,2727.372013904329,26072.845194773363,229061,894
33,107.54562211036682,3058.413662459121,1205588542.877193,2752.2831166129595,26646.78434849797,229079,871
34,185.83597660064697,3089.3641290662786,1205380400.4324324,2780.042968268833,26788.870976787322,228976,678
35,128.16947507858276,2602.327892780364,1205212303.36,2717.4411051184843,26008.244146714344,229079,797
36,94.11128425598145,3037.7441160233166,1205056788.7567568,2692.6314097546083,26210.79947533732,229075,886
37,136.01719164848328,2500.389810127394,1205280280.3809524,2604.8471939903548,25785.019948536108,229078,819
38,177.17879819869995,2684.1812047211365,1205168269.4981818,2638.961347258031,26014.1848057406,229087,1219
39,118.36247444152832,3061.434814621282,1205214774.468085,2709.7524068613807,26617.101533783385,229075,1222
40,104.3205726146698,3052.446818675072,1205379796.292683,2706.791123961794,26248.96443115318,229060,871
41,99.69897961616516,3045.828564836932,1205308435.8193548,2709.145078915193,26003.01437367627,229088,919
42,114.96536469459534,2550.759533351834,1205292821.942857,2655.7563733310494,25395.117979713174,229069,844
43,118.50557708740234,2507.645693171359,1205243202.4751382,2672.8784229824405,25443.933307680032,229057,788
44,118.4497742652893,2450.6842820136317,1205246858.4918032,2693.107707284839,25746.06004034964,229084,825
45,128.804829120636,2561.4567578907254,1205196540.101523,2603.8852913338965,25625.265935554875,229104,842
46,119.37679433822632,3067.12876677382,1205359183.4010694,2749.319931226396,26409.772665427085,229056,878
47,167.62106370925903,3081.2893592889423,1205294171.7014925,2776.2024038169557,26811.725809086063,229088,1235
48,112.17634057998657,2401.0678063432865,1205450249.197605,2501.7218296570823,24847.645997263764,229081,818
49,143.93732047080994,2619.2373094542327,1205402084.0727272,2602.6953869547187,25672.563501342822,229069,765
50,111.39076232910156,3059.661258023119,1205249751.9036145,2636.7895672733475,25642.081446225773,229057,873
51,87.54838871955872,3005.8348742769613,1205616174.5454545,2624.3544097193762,25230.72134514932,229060,875
52,105.33641266822815,3053.749333700558,1205438348.0754716,2652.302208923321,25712.390724095072,229055,846
53,133.33946418762207,3064.7490785249015,1205329403.0291262,2690.2537983447196,26111.50435628649,229085,877
54,136.27703833580017,2534.6529702889266,1205267421.0341463,2580.2806128904954,25346.676462755095,229079,840
55,129.00427412986755,2517.7460374145194,1205239829.2227979,2514.800398577562,25265.67450562769,229059,762
56,134.63972926139832,3079.0391682618842,1205602553.7560976,2709.415727446713,25840.938771090532,229076,894
57,99.89684772491455,3052.4586805751314,1205349941.8947368,2621.9546058276187,25837.93241512124,229089,880
58,94.60522317886353,3053.129523873254,1205260055.6028368,2600.1947010359036,25409.358164667003,229037,855
59,108.75498867034912,3059.1700120393575,1205372953.6,2608.579187663018,25320.27297016094,229077,889
60,106.67978978157043,3055.71468286045,1205294437.7831326,2694.7840878635075,26227.71385028887,229074,904
